Ticker,Company Name,Market Cap,PE Ratio (TTM),Avg Volume (3M)
NVDA,NVIDIA Corporation,5123268935680,26.654522,131906400
AAPL,Apple Inc.,4835635625984,38.17281,54182922
GOOGL,Alphabet Inc.,4219083161600,17.547304,30066854
GOOG,Alphabet Inc.,4175666610176,17.357904,19955977
MSFT,Microsoft Corporation,3691387289600,28.16544,35360121
AMZN,"Amazon.com, Inc.",2679535828992,20.412489,47144316
META,"Meta Platforms, Inc.",1707440472064,25.065071,18405621
AVGO,Broadcom Inc.,1619549356032,44.06104,23663944
TSLA,"Tesla, Inc.",1408329580544,333.25232,40271708
BRK-B,Berkshire Hathaway Inc.,1106233131008,12.954626,4415203
MU,"Micron Technology, Inc.",1047625072640,20.877785,40562203
LLY,Eli Lilly and Company,1013116305408,38.162914,2742170
JPM,JPMorgan Chase & Co.,936984051712,14.993194,7927239
WMT,Walmart Inc.,860188704768,39.593407,24324181
AMD,"Advanced Micro Devices, Inc.",823093886976,126.68342,25296119
V,Visa Inc.,701300277248,31.940475,7564000
XOM,ExxonMobil Holdings Corporation,696228970496,21.244669,15163439
JNJ,Johnson & Johnson,643924885504,30.961761,7637188
INTC,Intel Corporation,513492254720,,109328870
MA,Mastercard Incorporated,502190211072,31.637417,3180124
ABBV,AbbVie Inc.,464822566912,74.09578,6417401
CSCO,"Cisco Systems, Inc.",433960550400,32.95509,21097770
CVX,Chevron Corporation,427178360832,20.40956,8439488
ORCL,Oracle Corporation,424381382656,21.964008,32963100
BAC,Bank of America Corporation,416208388096,13.745958,32805970
