Ticker,Company Name,Market Cap,PE Ratio (TTM),Avg Volume (3M)
NVDA,NVIDIA Corporation,4271603712000,35.867348,181377268
AAPL,Apple Inc.,3757230784512,32.399242,48015172
GOOGL,Alphabet Inc.,3597527154688,27.51064,34451867
GOOG,Alphabet Inc.,3567405236224,27.280294,22371614
MSFT,Microsoft Corporation,2745297272832,23.100063,36549109
AMZN,"Amazon.com, Inc.",2260452245504,29.40922,51058304
AVGO,Broadcom Inc.,1486341799936,60.990273,26816121
META,"Meta Platforms, Inc.",1465194381312,24.6376,15938767
TSLA,"Tesla, Inc.",1430652190720,353.01852,61654581
BRK-B,Berkshire Hathaway Inc.,1032062763008,15.410628,4921819
WMT,Walmart Inc.,994477473792,45.692307,31295200
LLY,Eli Lilly and Company,854313336832,41.51892,3175511
JPM,JPMorgan Chase & Co.,796649455616,14.74688,11322814
XOM,Exxon Mobil Corporation,669932257280,23.997015,22504616
JNJ,Johnson & Johnson,588304547840,22.152449,8902185
V,Visa Inc.,575539118080,28.05545,8175627
COST,Costco Wholesale Corporation,442342506496,51.823193,2237640
MA,Mastercard Incorporated,438766993408,29.724907,3950014
ORCL,Oracle Corporation,417688158208,26.026882,27372396
MU,"Micron Technology, Inc.",414836948992,17.3678,40071747
NFLX,"Netflix, Inc.",405312569344,37.7668,49765559
CVX,Chevron Corporation,394692395008,29.820242,13116057
ABBV,AbbVie Inc.,380248522752,90.70886,7380503
BAC,Bank of America Corporation,353595129856,12.931759,42790980
PLTR,Palantir Technologies Inc.,350356570112,232.52382,50039655
